,Bird,UUID,Age,Type,Sex,Recording,Channel,Cluster,Location,Hemisphere,Lateral,Depth,SocialGroup
168,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r2,26,35,FL,R,1275.0,-2459.0,180B
169,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r2,27,26,FL,R,1275.0,-2459.0,180B
170,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r3,15,59,NCM,R,1275.0,-3263.0,180B
171,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r3,19,8,NCM,R,1275.0,-3263.0,180B
172,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r3,21,19,NCM,R,1275.0,-3263.0,180B
173,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r3,24,5,NCM,R,1275.0,-3263.0,180B
174,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r3,24,6,NCM,R,1275.0,-3263.0,180B
175,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r3,28,24,NCM,R,1275.0,-3263.0,180B
176,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r3,28,25,NCM,R,1275.0,-3263.0,180B
177,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r3,29,16,NCM,R,1275.0,-3263.0,180B
178,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r3,2,49,NCM,R,1275.0,-3263.0,180B
179,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r3,31,13,NCM,R,1275.0,-3263.0,180B
180,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r3,3,42,NCM,R,1275.0,-3263.0,180B
181,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r3,6,44,NCM,R,1275.0,-3263.0,180B
182,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r3,9,53,NCM,R,1275.0,-3263.0,180B
183,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r3,9,54,NCM,R,1275.0,-3263.0,180B
184,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p2r1,14,34,CM,L,1167.0,-1963.0,180B
185,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p2r1,18,29,CM,L,1167.0,-1963.0,180B
186,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p2r1,23,12,CM,L,1167.0,-1963.0,180B
187,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p2r1,8,42,CM,L,1167.0,-1963.0,180B
188,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p2r2,1,43,FL,L,1167.0,-2390.0,180B
189,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p2r2,21,11,FL,L,1167.0,-2390.0,180B
190,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p2r2,21,12,FL,L,1167.0,-2390.0,180B
191,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p2r2,4,26,FL,L,1167.0,-2390.0,180B
192,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p2r2,9,40,FL,L,1167.0,-2390.0,180B
193,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p2r3,21,15,NCM,L,1167.0,-3687.0,180B
194,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p2r3,28,21,NCM,L,1167.0,-3687.0,180B
195,P51,df5ad06e-789e-4474-9a64-7ebb10e39fbc,140,CR,M,p1r1,10,43,CM,R,-1407.0,-1787.0,180B
196,P51,df5ad06e-789e-4474-9a64-7ebb10e39fbc,140,CR,M,p1r1,12,45,CM,R,-1407.0,-1787.0,180B
197,P51,df5ad06e-789e-4474-9a64-7ebb10e39fbc,140,CR,M,p1r1,18,30,CM,R,-1407.0,-1787.0,180B
198,P51,df5ad06e-789e-4474-9a64-7ebb10e39fbc,140,CR,M,p1r1,23,15,CM,R,-1407.0,-1787.0,180B
199,P51,df5ad06e-789e-4474-9a64-7ebb10e39fbc,140,CR,M,p1r1,27,19,CM,R,-1407.0,-1787.0,180B
200,P51,df5ad06e-789e-4474-9a64-7ebb10e39fbc,140,CR,M,p1r1,2,48,CM,R,-1407.0,-1787.0,180B
201,P51,df5ad06e-789e-4474-9a64-7ebb10e39fbc,140,CR,M,p1r1,2,49,CM,R,-1407.0,-1787.0,180B
